artist_name,title,release,tags
b'Casual',"b""I Didn't Mean To""",b'Fear Itself',"[['Bay Area', '100'], ['hieroglyiphics', '100'], ['classic', '50'], ['Hip-Hop', '50'], ['stream', '50'], ['OG', '50'], ['1979-2006: A Hip-Hop Odyssey - 800 Tracks In A 48 Minute Mix', '50'], ['heiroglyphics', '50'], ['oaksterdamn', '50'], ['heard on Pandora', '0']]"
b'The Box Tops',b'Soul Deep',b'Dimensions',"[['60s', '100'], ['soul', '52'], ['pop', '41'], ['rock', '35'], ['male vocalists', '35'], ['oldies', '29'], ['1969', '23'], ['close harmony', '11'], ['1960s', '11'], ['sixties', '5'], ['beautiful', '5'], ['Love', '5'], [""60's"", '5'], [""1960's"", '5'], ['jukebox heaven', '5'], ['60s Gold', '5'], ['GH10', '5'], ['perwinger', '5'], ['the box tops - soul deep', '5'], ['Radiotsar approved', '5'], ['classic rock', '0'], ['soul deep', '0'], ['The Box Tops', '0']]"
b'Sonora Santanera',b'Amor De Cabaret',b'Las Numero 1 De La Sonora Santanera',"[['latin', '100']]"
b'Adam Ant',b'Something Girls',b'Friend Or Foe',"[['new wave', '100'], ['80s', '66'], ['freedom', '33'], ['strangeromanticdeadrockcave', '33']]"
b'Gob',b'Face the Ashes',b'Muertos Vivos',"[['punk rock', '100'], ['punk', '60']]"
b'Jeff And Sheri Easter',b'The Moon And I (Ordinary Day Album Version)',b'Ordinary Day',[]
b'Rated R',b'Keepin It Real (Skit)',b'Da Ghetto Psychic',[]
b'Tweeterfriendly Music',b'Drop of Rain',b'Gin & Phonic',[]
b'Planet P Project',b'Pink World',b'Pink World',"[['Progressive rock', '100'], ['prog rock', '100'], ['bra2', '100'], ['Titletracks', '100']]"
b'Clp',b'Insatiable (Instrumental Version)',b'Superinstrumental',[]
b'JennyAnyKind',b'Young Boy Blues',b'I Need You',[]
b'Andy Andy',b'La Culpa',b'Placer & Castigo',"[['latin', '100']]"
b'Bob Azzam',b'Auguri Cha Cha',b'Arrivederci',[]
b'Lionel Richie',b'Tonight Will Be Alright',b'Dancing On The Ceiling',"[['slowhand', '100'], ['video killed the radio star', '100']]"
b'Blue Rodeo',b'Floating',b'Outskirts',"[['classic rock', '100'], ['Canadian', '100'], ['country', '100'], ['blues', '100'], ['singer-songwriter', '100'], ['Fave', '100'], ['present participle', '100'], ['the word float', '100']]"
b'Richard Souther',b'High Tide',b'Cross Currents',"[['drjazzmrfunkmusic', '100'], ['instrumental', '50'], ['peaceful', '50']]"
b'Faiz Ali Faiz',b'Sohna Nee Sohna Data',b'Panjtan Ka Ghulam',[]
b'Tesla',b'Caught In A Dream',b'Gold',"[['hard rock', '100'], ['rock', '44'], ['Tesla', '44'], ['classic rock', '33'], ['Love', '22'], ['chillout', '22'], ['chillout rock', '22'], ['hair metal', '22'], ['rockme', '22'], ['Favorite', '22'], ['Dream', '11'], ['rock ballads', '11'], ['mis favoritas', '11'], ['alternative times', '11'], ['baladas rock', '11'], ['its a long way to the top', '11'], ['Adoro questa canzone mi da un senso di liberta pazzesca', '11'], ['gw hard rock', '11'], ['Glam Metal', '11'], ['great lyrics', '11'], ['00s', '11'], ['my music', '11'], ['Favorite Artists', '11'], ['blues rock', '11'], ['favorites', '11'], ['Awesome', '11'], ['80s hair metal', '11'], ['heavy metal', '11'], ['metal', '11'], ['Power ballad', '0']]"
b'lextrical',b'Synthetic Dream',b'Whatever Happened To Boredom?',[]
b'Jimmy Wakely',b'Broken-Down Merry-Go-Round',b'1942-1952 Jimmy Wakely',[]
b'Alice Stuart',b'Kassie Jones',b'All The Good Times',[]
b'Elena',b'Setanta matins',b'Un cafe_ setanta matins',[]
b'The Dillinger Escape Plan',b'Setting Fire to Sleeping Giants',b'Miss Machine',"[['mathcore', '100'], ['hardcore', '49'], ['experimental', '41'], ['metalcore', '37'], ['metal', '35'], ['jazz', '15'], ['math metal', '15'], ['Progressive metal', '9'], ['jazzcore', '5'], ['favourite', '5'], ['favorites', '5'], ['Favorite', '5'], ['post-hardcore', '5'], ['experimental metal', '3'], ['progressive mathcore', '3'], ['Music to Kill homeless people to', '3'], ['chaotic hardcore', '3'], ['melodic', '3'], ['screamo', '3'], ['post-rock', '3'], ['Technical Metal', '3'], ['emo', '3'], ['guysfuckinrule', '3'], ['Post-core', '3'], ['genrelessimo', '1'], ['fucking good music', '1'], ['choon of the highest calibre', '1'], ['living rope favorites', '1'], ['more fun than a stick in the eye', '1'], ['Bubu label', '1'], ['sandwich', '1'], ['weeklytops', '1'], ['prog core', '1'], ['Album Makers', '1'], ['clean vocals', '1'], ['exhilarating', '1'], ['choon', '1'], ['riff', '1'], ['in your face', '1'], ['running music', '1'], ['not emo', '1'], ['Calculus', '1'], [':4star', '1'], ['still sound like a revelation', '1'], ['porgcore', '1'], ['this is how guitars are supposed to sound', '1'], ['songs i would rock out in my room to', '1'], ['technische Metalcore', '1'], ['avantgardistischer Metalcore', '1'], ['alicemugshot-orange', '1'], ['prosto pizdec', '1'], ['orgasssssm', '1'], ['temita', '1'], ['alicemugshot', '1'], ['Go Out And Kick Some Ass', '1'], ['independent metal', '1'], ['jeas-reinhoer-ok', '1'], ['contains one of the greatest moments in music history', '1'], ['she loves the hash', '1'], ['cock suckers delight', '1'], ['good9', '1'], ['good7', '1'], ['Bands that I should listen to more', '1'], ['WarmDeath', '1'], ['brilliant sleek mathcore with a little pinch of spazz and unavoidable genius interference', '1'], ['muka muka', '1'], ['MathMetal', '1'], ['melodic hardcore', '1'], ['thrashcore', '1'], ['FUCKING AWESOME', '1'], ['Math-metal', '1'], ['Avant-garde Metal', '1'], ['My Favorites', '1'], ['post hardcore', '1'], ['Energetic', '1'], ['technical', '1'], ['sex', '1'], ['amazing', '1'], ['Experimental Rock', '1'], ['beautiful', '1'], ['tech metal', '1'], ['Awesome', '1'], ['grindcore', '1'], ['Progressive', '1'], ['pop', '1'], ['heavy', '1'], ['rock', '1'], ['Uplifting', '1'], ['godlike genius', '1'], ['adrenaline', '1'], ['pwnage', '1'], ['Truly Great', '1'], ['spazz-out favorites', '1'], ['thursday', '1'], ['songs to wake up to', '1'], ['music to dance to', '1'], ['experemental', '1'], ['Indie Metal', '1'], ['kick ass', '1'], ['best songs ever', '1']]"
b'SUE THOMPSON',b'James (Hold The Ladder Steady)',b'Sue Thompson - Her Very Best',"[['oldies', '100'], ['60s girls', '66'], ['female vocalist', '33'], ['memories', '33'], ['GH10', '33'], ['midbest', '33'], ['mom  dad', '33'], ['sue thompson hold the ladder steady', '33'], ['Sue Thompson', '33'], ['songs about men', '33']]"
b'Five Bolt Main',b'Made Like This (Live)',b'Live',"[['metal', '100'], ['lie', '100'], ['the favouritest song', '100'], ['seen live', '1']]"
b'Clp',b'Superconfidential',b'Strictly Confidential',[]
b'Tim Wilson',b'I Think My Wife Is Running Around On Me (Taco Hell)',b'The Real Twang Thang',[]
